movieId,title,year,rating_promedio,total_votos
541,Blade Runner (1982),1982,4.11,46289
26073,"Human Condition III, The (Ningen no joken III) (1961)",1961,4.11,142
3089,Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948),1948,4.11,4903
7099,Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) (1984),1984,4.11,7392
116897,Wild Tales (2014),2014,4.11,2980
98491,Paperman (2012),2012,4.11,3725
5291,Rashomon (Rashômon) (1950),1950,4.11,6039
174703,I Am So Proud of You (2008),2008,4.1,101
147330,Sherlock Holmes and Dr. Watson: Acquaintance (1979),1979,4.1,207
1131,Jean de Florette (1986),1986,4.1,3524
2351,"Nights of Cabiria (Notti di Cabiria, Le) (1957)",1957,4.1,1631
670,"World of Apu, The (Apur Sansar) (1959)",1959,4.1,879
2186,Strangers on a Train (1951),1951,4.1,6568
2905,Sanjuro (Tsubaki Sanjûrô) (1962),1962,4.1,1788
1224,Henry V (1989),1989,4.1,4819
120807,John Mulaney: New In Town (2012),2012,4.1,678
158783,The Handmaiden (2016),2016,4.1,2710
260,Star Wars: Episode IV - A New Hope (1977),1977,4.1,85010
1949,"Man for All Seasons, A (1966)",1966,4.1,2374
174551,Obsession (1965),1965,4.1,56
5690,Grave of the Fireflies (Hotaru no haka) (1988),1988,4.1,6817
3307,City Lights (1931),1931,4.1,3995
127180,"Story of Film: An Odyssey, The (2011)",2011,4.1,129
1262,"Great Escape, The (1963)",1963,4.1,13217
745,Wallace & Gromit: A Close Shave (1995),1995,4.1,13944
720,Wallace & Gromit: The Best of Aardman Animation (1996),1996,4.09,8612
7153,"Lord of the Rings: The Return of the King, The (2003)",2003,4.09,67449
27423,"O Auto da Compadecida (Dog's Will, A) (2000)",2000,4.09,266
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),1994,4.09,41846
96829,"Hunt, The (Jagten) (2012)",2012,4.09,5009
3429,Creature Comforts (1989),1989,4.09,2791
2858,American Beauty (1999),1999,4.09,65158
1189,"Thin Blue Line, The (1988)",1988,4.09,3126
1089,Reservoir Dogs (1992),1992,4.09,43730
4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",2001,4.09,73122
1704,Good Will Hunting (1997),1997,4.09,50824
1250,"Bridge on the River Kwai, The (1957)",1957,4.09,14726
2731,"400 Blows, The (Les quatre cents coups) (1959)",1959,4.09,4201
1267,"Manchurian Candidate, The (1962)",1962,4.09,10028
27773,Old Boy (2003),2003,4.09,17331
1276,Cool Hand Luke (1967),1967,4.09,13466
668,Song of the Little Road (Pather Panchali) (1955),1955,4.09,1074
192953,Ghost in the Shell: Stand Alone Complex - Individual Eleven (2006),2006,4.09,51
65188,Dear Zachary: A Letter to a Son About His Father (2008),2008,4.09,1312
7396,Scenes From a Marriage (Scener ur ett äktenskap) (1973),1973,4.09,806
136469,Larry David: Curb Your Enthusiasm (1999),1999,4.09,464
47,Seven (a.k.a. Se7en) (1995),1995,4.09,63298
3677,Baraka (1992),1992,4.09,2175
2203,Shadow of a Doubt (1943),1943,4.09,2785
114635,"Look of Silence, The (2014)",2014,4.09,261
5147,Wild Strawberries (Smultronstället) (1957),1957,4.09,2828
147290,Seventeen Moments in Spring (1973),1973,4.09,82
326,To Live (Huozhe) (1994),1994,4.08,1497
7327,Persona (1966),1966,4.08,2694
2357,Central Station (Central do Brasil) (1998),1998,4.08,2613
287699,Oppenheimer (2023),2023,4.08,1152
89985,"Trap: What Happened to Our Dream of Freedom, The (2007)",2007,4.08,85
4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",2001,4.08,43459
7156,"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)",2003,4.08,3275
1232,Stalker (1979),1979,4.08,3905
6350,Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986),1986,4.08,7539
1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",1957,4.08,6657
951,His Girl Friday (1940),1940,4.08,4897
3462,Modern Times (1936),1936,4.08,6051
1939,"Best Years of Our Lives, The (1946)",1946,4.08,2222
5008,Witness for the Prosecution (1957),1957,4.08,2641
1361,Paradise Lost: The Child Murders at Robin Hood Hills (1996),1996,4.08,1863
1256,Duck Soup (1933),1933,4.08,6391
111,Taxi Driver (1976),1976,4.08,36647
26699,Close-Up (Nema-ye Nazdik) (1990),1990,4.08,388
171749,Death Note: Desu nôto (2006–2007),,4.08,501
96606,Samsara (2011),2011,4.07,1393
135456,Ghost in the Shell: Stand Alone Complex - The Laughing Man (2005),2005,4.07,369
2360,"Celebration, The (Festen) (1998)",1998,4.07,3025
3022,"General, The (1926)",1926,4.07,3094
306,Three Colors: Red (Trois couleurs: Rouge) (1994),1994,4.07,8183
1225,Amadeus (1984),1984,4.07,24986
261955,The Rescue (2021),2021,4.07,152
5498,Red Beard (Akahige) (1965),1965,4.07,678
3077,42 Up (1998),1998,4.07,1225
5952,"Lord of the Rings: The Two Towers, The (2002)",2002,4.07,67463
142488,Spotlight (2015),2015,4.07,8867
923,Citizen Kane (1941),1941,4.07,22920
3196,Stalag 17 (1953),1953,4.07,3233
678,Some Folks Call It a Sling Blade (1993),1993,4.07,2739
6896,Shoah (1985),1985,4.07,352
99764,It's Such a Beautiful Day (2012),2012,4.07,706
2935,"Lady Eve, The (1941)",1941,4.07,1678
8684,"Man Escaped, A (Un  condamné à mort s'est échappé ou Le vent souffle où il veut) (1956)",1956,4.07,677
26003,Night and Fog (Nuit et brouillard) (1955),1955,4.07,591
1214,Alien (1979),1979,4.07,45211
1299,"Killing Fields, The (1984)",1984,4.07,7712
4011,Snatch (2000),2000,4.07,32509
3468,"Hustler, The (1961)",1961,4.07,4997
7361,Eternal Sunshine of the Spotless Mind (2004),2004,4.07,44430
928,Rebecca (1940),1940,4.06,5879
1132,Manon of the Spring (Manon des sources) (1986),1986,4.06,3233
1219,Psycho (1960),1960,4.06,27027
3819,Tampopo (1985),1985,4.06,2152
3224,Woman in the Dunes (Suna no onna) (1964),1964,4.06,1031
6643,Tokyo Story (Tôkyô monogatari) (1953),1953,4.06,1439
53883,"Power of Nightmares, The: The Rise of the Politics of Fear (2004)",2004,4.06,275
969,"African Queen, The (1951)",1951,4.06,11693
31545,"Trou, Le (Hole, The) (Night Watch, The) (1960)",1960,4.06,360
2330,Hands on a Hard Body (1996),1996,4.06,849
148626,"Big Short, The (2015)",2015,4.06,14997
179173,Rabbit of Seville (1950),1950,4.06,257
26131,"Battle of Algiers, The (La battaglia di Algeri) (1966)",1966,4.06,1883
202749,Portrait of a Lady on Fire (2019),2019,4.06,1586
1617,L.A. Confidential (1997),1997,4.06,32831
136447,George Carlin: You Are All Diseased (1999),1999,4.05,276
134849,Duck Amuck (1953),1953,4.05,406
800,Lone Star (1996),1996,4.05,7322
5782,"Professional, The (Le professionnel) (1981)",1981,4.05,4835
3090,Matewan (1987),1987,4.05,1196
4144,In the Mood For Love (Fa yeung nin wa) (2000),2000,4.05,4146
5995,"Pianist, The (2002)",2002,4.05,22683
143511,Human (2015),2015,4.05,161
356,Forrest Gump (1994),1994,4.05,100296
3469,Inherit the Wind (1960),1960,4.05,2230
102666,Ivan Vasilievich: Back to the Future (Ivan Vasilievich menyaet professiyu) (1973),1973,4.05,736
270698,Everything Everywhere All at Once (2022),2022,4.05,3989
55820,No Country for Old Men (2007),2007,4.05,27384
115969,Generation War (2013),2013,4.05,129
1222,Full Metal Jacket (1987),1987,4.05,32501
2028,Saving Private Ryan (1998),1998,4.05,58368
31364,Memories of Murder (Salinui chueok) (2003),2003,4.05,2860
147326,The Adventures of Sherlock Holmes and Doctor Watson: King of Blackmailers (1980),1980,4.05,155
942,Laura (1944),1944,4.05,3235
147328,The Adventures of Sherlock Holmes and Dr. Watson: Bloody Signature (1979),1979,4.05,198
910,Some Like It Hot (1959),1959,4.05,13608
1041,Secrets & Lies (1996),1996,4.05,5851
7766,Throne of Blood (Kumonosu jô) (1957),1957,4.05,1724
32657,"Man Who Planted Trees, The (Homme qui plantait des arbres, L') (1987)",1987,4.05,344
916,Roman Holiday (1953),1953,4.05,7573
116136,Olive Kitteridge (2014),2014,4.05,325
2066,Out of the Past (1947),1947,4.05,1486
196067,The Dawn Wall (2018),2018,4.05,340
86781,Incendies (2010),2010,4.05,2162
164179,Arrival (2016),2016,4.05,19742
32853,"Sorrow and the Pity, The (Le chagrin et la pitié) (1969)",1969,4.05,166
2208,"Lady Vanishes, The (1938)",1938,4.05,2760
146028,The Adventures of Sherlock Holmes and Dr. Watson: The Hound of the Baskervilles (1981),1981,4.04,256
899,Singin' in the Rain (1952),1952,4.04,12913
1223,"Grand Day Out with Wallace and Gromit, A (1989)",1989,4.04,8854
207313,Knives Out (2019),2019,4.04,10740
58425,Heima (2007),2007,4.04,320
111130,Powers of Ten (1977),1977,4.04,166
1304,Butch Cassidy and the Sundance Kid (1969),1969,4.04,17587
183423,AlphaGo (2017),2017,4.04,530
165969,HyperNormalisation (2016),2016,4.04,302
28,Persuasion (1995),1995,4.04,3310
167792,"What's Opera, Doc? (1957)",1957,4.04,199
26048,"Human Condition II, The (Ningen no joken II) (1959)",1959,4.04,150
953,It's a Wonderful Life (1946),1946,4.04,18374
1244,Manhattan (1979),1979,4.04,10130
208703,1917 (2019),2019,4.04,6884
104879,Prisoners (2013),2013,4.04,9541
68157,Inglourious Basterds (2009),2009,4.04,34888
1228,Raging Bull (1980),1980,4.04,13049
26662,Kiki's Delivery Service (Majo no takkyûbin) (1989),1989,4.04,6855
1258,"Shining, The (1980)",1980,4.04,38640
2937,"Palm Beach Story, The (1942)",1942,4.04,994
3091,Kagemusha (1980),1980,4.04,1708
26366,Harlan County U.S.A. (1976),1976,4.04,279
3147,"Green Mile, The (1999)",1999,4.04,38965
945,Top Hat (1935),1935,4.03,2308
1950,In the Heat of the Night (1967),1967,4.03,4151
214,Before the Rain (Pred dozhdot) (1994),1994,4.03,1000
911,Charade (1963),1963,4.03,5117
3470,Dersu Uzala (1975),1975,4.03,1294
148667,John Mulaney: The Comeback Kid (2015),2015,4.03,679
116845,Valley Uprising (2014),2014,4.03,74
1281,"Great Dictator, The (1940)",1940,4.03,5484
1230,Annie Hall (1977),1977,4.03,19323
3035,Mister Roberts (1955),1955,4.03,2644
1086,Dial M for Murder (1954),1954,4.03,7252
107412,"Kidnapping, Caucasian Style (Kavkazskaya plennitsa) (1967)",1967,4.03,384
56782,There Will Be Blood (2007),2007,4.03,15494
5932,Burden of Dreams (1982),1982,4.03,461
136445,George Carlin: Back in Town (1996),1996,4.03,191
187531,John Mulaney: Kid Gorgeous at Radio City (2018),2018,4.03,478
4427,"Lion in Winter, The (1968)",1968,4.03,1852
193950,Free Solo (2018),2018,4.03,2049
136449,Ghost in the Shell 2.0 (2008),2008,4.03,967
1283,High Noon (1952),1952,4.03,5840
3629,"Gold Rush, The (1925)",1925,4.03,2901
3038,"Face in the Crowd, A (1957)",1957,4.03,777
100556,"Act of Killing, The (2012)",2012,4.03,1124
232,Eat Drink Man Woman (Yin shi nan nu) (1994),1994,4.03,6295
109374,"Grand Budapest Hotel, The (2014)",2014,4.03,21554
909,"Apartment, The (1960)",1960,4.03,6921
2132,Who's Afraid of Virginia Woolf? (1966),1966,4.03,3721
6787,All the President's Men (1976),1976,4.03,6274
27156,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)",1997,4.03,1727
167832,The Invisible Guest (2016),2016,4.03,1343
2542,"Lock, Stock & Two Smoking Barrels (1998)",1998,4.03,24152
7256,Touching the Void (2003),2003,4.03,2851
183437,World of Tomorrow Episode Two: The Burden of Other People's Thoughts (2017),2017,4.03,167
99114,Django Unchained (2012),2012,4.03,32043
3983,You Can Count on Me (2000),2000,4.03,3164
1251,8 1/2 (8½) (1963),1963,4.03,4322
26150,Andrei Rublev (Andrey Rublyov) (1969),1969,4.03,1320
2843,"Black Cat, White Cat (Crna macka, beli macor) (1998)",1998,4.03,1859
246,Hoop Dreams (1994),1994,4.02,10852
134130,The Martian (2015),2015,4.02,28104
130970,George Carlin: Life Is Worth Losing (2005),2005,4.02,343
165069,Baseball (1994),1994,4.02,81
3730,"Conversation, The (1974)",1974,4.02,5693
4432,Sweet Smell of Success (1957),1957,4.02,1170
140265,George Carlin: Jammin' in New York (1992),1992,4.02,247
188773,Shoplifters (2018),2018,4.02,1346
7566,28 Up (1985),1985,4.02,897
1269,Arsenic and Old Lace (1944),1944,4.02,7650
96966,Laurence Anyways (2012),2012,4.02,273
1272,Patton (1970),1970,4.02,9065
178613,Dave Chappelle: Killin' Them Softly (2000),2000,4.02,343
947,My Man Godfrey (1936),1936,4.02,2097
1218,"Killer, The (Die xue shuang xiong) (1989)",1989,4.02,3132
8477,"Jetée, La (1962)",1962,4.02,1532
6433,"Man with the Movie Camera, The (Chelovek s kino-apparatom) (1929)",1929,4.02,859
3415,"Mirror, The (Zerkalo) (1975)",1975,4.02,1266
1247,"Graduate, The (1967)",1967,4.02,22319
166291,A Silent Voice (2016),2016,4.02,893
6985,"Passion of Joan of Arc, The (Passion de Jeanne d'Arc, La) (1928)",1928,4.02,1375
32460,Knockin' on Heaven's Door (1997),1997,4.02,1002
117444,Song of the Sea (2014),2014,4.02,1680
6650,Kind Hearts and Coronets (1949),1949,4.02,1216
97673,56 Up (2012),2012,4.02,236
152970,Hunt for the Wilderpeople (2016),2016,4.02,3244
3811,Breaker Morant (1980),1980,4.02,1877
177765,Coco (2017),2017,4.02,9638
50658,49 Up (2005),2005,4.02,513
225758,David Attenborough: A Life on Our Planet (2020),2020,4.02,384
4298,Rififi (Du rififi chez les hommes) (1955),1955,4.02,1135
2931,Time of the Gypsies (Dom za vesanje) (1989),1989,4.02,590
148881,World of Tomorrow (2015),2015,4.02,600
50740,Seven Up! (1964),1964,4.02,575
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),1994,4.02,1994
5475,Z (1969),1969,4.02,893
7700,"Wages of Fear, The (Salaire de la peur, Le) (1953)",1953,4.02,1299
93988,North & South (2004),2004,4.01,463
8228,"Maltese Falcon, The (a.k.a. Dangerous Female) (1931)",1931,4.01,3323
2726,"Killing, The (1956)",1956,4.01,2876
46855,Army of Shadows (L'armée des ombres) (1969),1969,4.01,604
906,Gaslight (1944),1944,4.01,2475
7767,"Best of Youth, The (La meglio gioventù) (2003)",2003,4.01,600
2936,Sullivan's Travels (1941),1941,4.01,1743
3504,Network (1976),1976,4.01,6985
1211,"Wings of Desire (Himmel über Berlin, Der) (1987)",1987,4.01,4387
82,Antonia's Line (Antonia) (1995),1995,4.01,2555
115122,What We Do in the Shadows (2014),2014,4.01,4918
168282,George Carlin: Playin' with Your Head (1986),1986,4.01,51
6918,"Unvanquished, The (Aparajito) (1957)",1957,4.01,469
778,Trainspotting (1996),1996,4.01,35303
954,Mr. Smith Goes to Washington (1939),1939,4.01,6583
7938,Winter Light (Nattvardsgästerna) (1963),1963,4.01,659
74727,Gentlemen of Fortune (Dzhentlmeny udachi) (1972),1972,4.01,682
1288,This Is Spinal Tap (1984),1984,4.01,19492
60069,WALL·E (2008),2008,4.01,39993
1300,My Life as a Dog (Mitt liv som hund) (1985),1985,4.01,3690
1200,Aliens (1986),1986,4.01,38846
71033,"Secret in Their Eyes, The (El secreto de sus ojos) (2009)",2009,4.01,3143
1199,Brazil (1985),1985,4.01,18702
68237,Moon (2009),2009,4.01,15744
77846,12 Angry Men (1997),1997,4.01,1046
38159,"Short Film About Love, A (Krótki film o milosci) (1988)",1988,4.01,485
172587,Vacations in Prostokvashino (1980),1980,4.01,166
26903,Whisper of the Heart (Mimi wo sumaseba) (1995),1995,4.01,1745
955,Bringing Up Baby (1938),1938,4.01,5210
4325,"Night, The (Notte, La) (1960)",1960,4.01,498
97,"Hate (Haine, La) (1995)",1995,4.0,3509
2973,Crimes and Misdemeanors (1989),1989,4.0,4760
602,"Great Day in Harlem, A (1994)",1994,4.0,334
283577,Past Lives (2023),2023,4.0,125
8638,Before Sunset (2004),2004,4.0,6417
123,Chungking Express (Chung Hing sam lam) (1994),1994,4.0,3534
1303,"Man Who Would Be King, The (1975)",1975,4.0,3918
3801,Anatomy of a Murder (1959),1959,4.0,2368
3681,For a Few Dollars More (Per qualche dollaro in più) (1965),1965,4.0,6977
6123,Sunless (Sans Soleil) (1983),1983,4.0,439
1264,Diva (1981),1981,4.0,2701
2762,"Sixth Sense, The (1999)",1999,4.0,57010
90947,"Oslo, August 31st (Oslo, 31. august) (2011)",2011,4.0,319
126430,The Pacific (2010),2010,4.0,839
169252,Everything Will Be OK (2006),2006,4.0,201
8785,Early Summer (Bakushû) (1951),1951,4.0,228
7587,"Samouraï, Le (Godson, The) (1967)",1967,4.0,1506
1236,Trust (1990),1990,4.0,1054
8656,"Short Film About Killing, A (Krótki film o zabijaniu) (1988)",1988,4.0,733
8516,"Matter of Life and Death, A (Stairway to Heaven) (1946)",1946,4.0,564
3359,Breaking Away (1979),1979,4.0,3371
134252,That Munchhausen (1979),1979,4.0,154
256567,Flee (2021),2021,4.0,112
4806,"Shop on Main Street, The (Obchod na korze) (1965)",1965,4.0,255
168760,Cosy Dens (1999),1999,4.0,50
31410,"Downfall (Untergang, Der) (2004)",2004,4.0,7328
1446,Kolya (Kolja) (1996),1996,4.0,2315
1273,Down by Law (1986),1986,4.0,3267
1358,Sling Blade (1996),1996,4.0,14354
219994,The Father (2020),2020,4.0,1153
1900,"Children of Heaven, The (Bacheha-Ye Aseman) (1997)",1997,4.0,1046
66371,Departures (Okuribito) (2008),2008,4.0,1338
6611,Umberto D. (1952),1952,4.0,648
177593,"Three Billboards Outside Ebbing, Missouri (2017)",2017,4.0,7586
162,Crumb (1994),1994,4.0,6363
101962,Wolf Children (Okami kodomo no ame to yuki) (2012),2012,4.0,1192
6783,"Rules of the Game, The (La règle du jeu) (1939)",1939,4.0,1123
994,Big Night (1996),1996,4.0,5457
924,2001: A Space Odyssey (1968),1968,4.0,35934
8014,"Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom) (2003)",2003,3.99,2678
32906,"Ascent, The (Voskhozhdeniye) (1977)",1977,3.99,184
50742,7 Plus Seven (1970),1970,3.99,362
1266,Unforgiven (1992),1992,3.99,17593
121374,Bill Burr: Why Do I Do This? (2008),2008,3.99,222
85774,Senna (2010),2010,3.99,2190
74458,Shutter Island (2010),2010,3.99,29096
80906,Inside Job (2010),2010,3.99,2912
4235,Amores Perros (Love's a Bitch) (2000),2000,3.99,7703
7215,To Have and Have Not (1944),1944,3.99,1214
1732,"Big Lebowski, The (1998)",1998,3.99,36349
116797,The Imitation Game (2014),2014,3.99,24460
175791,LA 92 (2017),2017,3.99,131
7234,"Strada, La (1954)",1954,3.99,1502
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",1993,3.99,645
2131,Autumn Sonata (Höstsonaten) (1978),1978,3.99,823
139195,Jim Henson's The Storyteller (1989),1989,3.99,61
1210,Star Wars: Episode VI - Return of the Jedi (1983),1983,3.99,67496
126090,Hedgehog in the Fog (1975),1975,3.99,411
5912,Hit the Bank (Vabank) (1981),1981,3.99,115
168250,Get Out (2017),2017,3.99,11679
2502,Office Space (1999),1999,3.99,28330
118085,"Welcome, or No Trespassing (1964)",1964,3.99,111
145994,Formula of Love (1984),1984,3.99,107
3634,Seven Days in May (1964),1964,3.99,1013
26712,35 Up (1991),1991,3.99,474
104944,Short Term 12 (2013),2013,3.99,2180
275503,Aftersun (2022),2022,3.99,495
110,Braveheart (1995),1995,3.99,69482
96488,Searching for Sugar Man (2012),2012,3.99,1837
115713,Ex Machina (2015),2015,3.99,20588
42783,Shadows of Our Forgotten Ancestors (Tini zabutykh predkiv) (1964),1964,3.99,122
95604,The War (2007),2007,3.99,81
1080,Monty Python's Life of Brian (1979),1979,3.99,27292
137904,"I, Claudius (1976)",1976,3.99,117
42217,Late Spring (Banshun) (1949),1949,3.99,422
1291,Indiana Jones and the Last Crusade (1989),1989,3.99,46401
741,Ghost in the Shell (Kôkaku kidôtai) (1995),1995,3.99,10719
141818,Ordinary Miracle (1978),1978,3.99,150
1259,Stand by Me (1986),1986,3.99,27367
3789,"Pawnbroker, The (1964)",1964,3.99,711
7669,Pride and Prejudice (1995),1995,3.99,3088
7071,"Woman Under the Influence, A (1974)",1974,3.99,687
140737,The Lost Room (2006),2006,3.99,430
27033,"Kingdom II, The (Riget II) (1997)",1997,3.99,283
77854,"Work of Director Michel Gondry, The (2003)",2003,3.99,244
33779,Eddie Izzard: Dress to Kill (1999),1999,3.99,626
25954,Orpheus (Orphée) (1950),1950,3.99,380
1206,"Clockwork Orange, A (1971)",1971,3.99,36818
8188,Sansho the Bailiff (Sanshô dayû) (1954),1954,3.99,401
3095,"Grapes of Wrath, The (1940)",1940,3.98,4188
7013,"Night of the Hunter, The (1955)",1955,3.98,2474
3097,"Shop Around the Corner, The (1940)",1940,3.98,2052
3949,Requiem for a Dream (2000),2000,3.98,29235
2925,"Conformist, The (Conformista, Il) (1970)",1970,3.98,1239
176423,Icarus (2017),2017,3.98,883
120478,The Salt of the Earth (2014),2014,3.98,328
3683,Blood Simple (1984),1984,3.98,6467
49085,"Big City, The (Mahanagar) (1963)",1963,3.98,59
